id, journal, dates, title, author, citation
"20037","Journal of Development Economics","1997, Volume 54, Issue 2","Rural labor and credit markets","Caselli, Francesco","16"
"20067","Journal of Development Economics","1997, Volume 53, Issue 1","Quality and trade","Murphy, Kevin M. & Shleifer, andrei","196"
"20069","Journal of Development Economics","1997, Volume 53, Issue 1","Balanced and unbalanced growth","Rauch, James E.","41"
"20119","Journal of Development Economics","1996, Volume 51, Issue 1","On the ills of adjustment","Caballero, Ricardo J. & Hammour, Mohamad L.","568"
"20134","Journal of Development Economics","1996, Volume 50, Issue 1","Financial development","learning by Lee, Jaewoo","57"
"20152","Journal of Development Economics","1996, Volume 49, Issue 1","Trade and uneven growth","Feenstra, Robert C.","266"
"20177","Journal of Development Economics","1995, Volume 47, Issue 2","Labor tying","Mukherjee, Anindita & Ray, Debraj","54"
"20186","Journal of Development Economics","1995, Volume 47, Issue 2","Do Koreans save optimally?","Hahn, Jinsoo","5"
"20188","Journal of Development Economics","1995, Volume 47, Issue 2","Foreign aid and public goods","Hatzipanayotou, Panos & Michael, Michael S.","63"
"20231","Journal of Development Economics","1994, Volume 45, Issue 1","Gap models","Taylor, Lance","152"
"20279","Journal of Econometrics","2014, Volume 183, Issue 2","Time-varying jump tails","Bollerslev, Tim & Todorov, Viktor","31"
"20316","Journal of Econometrics","2014, Volume 182, Issue 1","Theory-coherent forecasting","Giacomini, Raffaella & Ragusa, Giuseppe","16"
"20336","Journal of Econometrics","2014, Volume 181, Issue 1","Exponential stock models driven","tempered stable processes by Kchler, Uwe & Tappe, Stefan","6"
"20389","Journal of Econometrics","2014, Volume 178, Issue P2","Testing for seasonal unit roots","frequency domain regression by Chambers, Marcus J. & Ercolani, Joanne S. & Taylor, A.M. Robert","3"
"20434","Journal of Econometrics","2013, Volume 177, Issue 2","Forecasting","factors, by variables, by both or neither? by Castle, Jennifer L. & Clements, Michael P. & Hendry, David F.","40"
"20437","Journal of Econometrics","2013, Volume 177, Issue 2","Complete subset regressions","Elliott, Graham & Gargano, Antonio & Timmermann, Allan","78"
"20445","Journal of Econometrics","2013, Volume 177, Issue 1","Dilation bootstrap","Galichon, Alfred & Henry, Marc","24"
"20464","Journal of Econometrics","2013, Volume 175, Issue 2","Modelling volatility","variance decomposition by Amado, Cristina & Tersvirta, Timo","72"
"20471","Journal of Econometrics","2013, Volume 174, Issue 2","Model averaging","jackknife criterion in models with dependent data by Zhang, Xinyu & Wan, Alan T.K. & Zou, Guohua","47"
"20479","Journal of Econometrics","2013, Volume 174, Issue 1","Predicting binary outcomes","Elliott, Graham & Lieli, Robert P.","63"
"20495","Journal of Econometrics","2013, Volume 172, Issue 2","Heavy tails of OLS","Mikosch, Thomas & de Vries, Casper G.","10"
"20502","Journal of Econometrics","2013, Volume 172, Issue 2","Stable mixture GARCH models","Broda, Simon A. & Haas, Markus & Krause, Jochen & Paolella, Marc S. & Steude, Sven C.","49"
"20506","Journal of Econometrics","2013, Volume 172, Issue 1","Testing functional inequalities","Lee, Sokbae & Song, Kyungchul & Whang, Yoon-Jae","56"
"20535","Journal of Econometrics","2012, Volume 170, Issue 2","Underidentification?","Arellano, Manuel & Hansen, Lars Peter & Sentana, Enrique","44"
"20558","Journal of Econometrics","2012, Volume 170, Issue 1","Regression towards the mode","Kemp, Gordon C.R. & Santos Silva, J.M.C.","24"
"20592","Journal of Econometrics","2012, Volume 169, Issue 1","Time-varying leverage effects","Bandi, Federico M. & Ren, Roberto","69"
"20644","Journal of Econometrics","2012, Volume 167, Issue 1","Jackknife model averaging","Hansen, Bruce E. & Racine, Jeffrey S.","220"
"20653","Journal of Econometrics","2012, Volume 167, Issue 1","Robust subsampling","Camponovo, Lorenzo & Scaillet, Olivier & Trojani, Fabio","8"
"20663","Journal of Econometrics","2012, Volume 166, Issue 2","Robust forecast combinations","Wei, Xiaoqiao & Yang, Yuhong","25"
"20674","Journal of Econometrics","2012, Volume 166, Issue 1","IV models of ordered choice","Chesher, andrew & Smolinski, Konrad","28"
"20724","Journal of Econometrics","2011, Volume 164, Issue 1","Optimal prediction pools","Geweke, John & Amisano, Gianni","226"
"20787","Journal of Econometrics","2011, Volume 161, Issue 2","Subsampling high frequency data","Kalnina, Ilze","36"
"20802","Journal of Econometrics","2011, Volume 160, Issue 1","Realized Volatility","Meddahi, Nour & Mykland, Per & Shephard, Neil","5"
"20819","Journal of Econometrics","2011, Volume 160, Issue 1","Subsampling realised kernels","Barndorff-Nielsen, Ole E. & Hansen, Peter Reinhard & Lunde, Asger & Shephard, Neil","1043"
"20855","Journal of Econometrics","2010, Volume 158, Issue 2","Bootstrapping I(1) data","Phillips, Peter C.B.","8"
"20858","Journal of Econometrics","2010, Volume 158, Issue 1","Twenty years of cointegration","Boswijk, H. Peter & Franses, Philip Hans & van Dijk, Dick","4"
"20914","Journal of Econometrics","2010, Volume 156, Issue 2","Least squares model averaging","Mallows criterion by Wan, Alan T.K. & Zhang, Xinyu & Zou, Guohua","130"
"20972","Journal of Econometrics","2009, Volume 153, Issue 2","The effect of microaggregation","individual ranking on the estimation of moments by Schmid, Matthias & Schneeweiss, Hans","7"
