"20027","Journal of Development Economics","1998, Volume 55, Issue 1","Premiums to employment in larger establishments: evidence from Peru","Schaffner, Julie anderson","61"
"20037","Journal of Development Economics","1997, Volume 54, Issue 2","Rural labor and credit markets","Caselli, Francesco","16"
"20057","Journal of Development Economics","1997, Volume 54, Issue 1","Review of tax policy and planning in developing countries : A. Bagchi and N. Stern, eds. (Delhi: Oxford University Press, 1994)","Wildasin, David E.","0"
"20067","Journal of Development Economics","1997, Volume 53, Issue 1","Quality and trade","Murphy, Kevin M. & Shleifer, andrei","196"
"20069","Journal of Development Economics","1997, Volume 53, Issue 1","Balanced and unbalanced growth","Rauch, James E.","41"
"20079","Journal of Development Economics","1997, Volume 53, Issue 1","India: Macroeconomics and political economy 1964-1991 : Vijay Joshi and I.M.D. Little (Eds.), World Bank, Washington, D.C., 1994, pbk $25, ISBN 0-8213-2652-X and Oxford University Press, Delhi, 1994, hbk Rs. 325, pp xviii + 397, ISBN 0-19 563649-X","Majumdar, Mukul","0"
"20080","Journal of Development Economics","1997, Volume 53, Issue 1","Review of Tax Policy and Planning in Developing Countries : A. Bagchi and N. Stern (Eds.), Oxford University Press, Delhi, 1994","Wildasin, David E.","0"
"20119","Journal of Development Economics","1996, Volume 51, Issue 1","On the ills of adjustment","Caballero, Ricardo J. & Hammour, Mohamad L.","568"
"20134","Journal of Development Economics","1996, Volume 50, Issue 1","Financial development","learning by Lee, Jaewoo","57"
"20152","Journal of Development Economics","1996, Volume 49, Issue 1","Trade and uneven growth","Feenstra, Robert C.","266"
"20158","Journal of Development Economics","1996, Volume 48, Issue 2","The role of intellectual property rights in economic growth","Gould, David M. & Gruben, William C.","727"
"20177","Journal of Development Economics","1995, Volume 47, Issue 2","Labor tying","Mukherjee, Anindita & Ray, Debraj","54"
"20186","Journal of Development Economics","1995, Volume 47, Issue 2","Do Koreans save optimally?","Hahn, Jinsoo","5"
"20187","Journal of Development Economics","1995, Volume 47, Issue 2","The political economy of price ceilings for necessities","Huizinga, Harry","1"
"20188","Journal of Development Economics","1995, Volume 47, Issue 2","Foreign aid and public goods","Hatzipanayotou, Panos & Michael, Michael S.","63"
"20206","Journal of Development Economics","1995, Volume 46, Issue 2","The optimal revenue tariff for public input provision: A further result on Feehan","Chang, Ming Chung","12"
"20231","Journal of Development Economics","1994, Volume 45, Issue 1","Gap models","Taylor, Lance","152"
"20248","Journal of Development Economics","1994, Volume 44, Issue 2","A note on dual foreign exchange markets with official rationing: Predetermined versus floating official exchange rate","Lizondo, J. Saul","2"
"20267","Journal of Development Economics","1994, Volume 43, Issue 2","The benefits of inflation in the economies with price controls and the cash-in-advance black markets","Stanczak, Kazimierz","2"
"20279","Journal of Econometrics","2014, Volume 183, Issue 2","Time-varying jump tails","Bollerslev, Tim & Todorov, Viktor","31"
"20288","Journal of Econometrics","2014, Volume 183, Issue 1","Likelihood-based inference for regular functions with fractional polynomial approximations","Geweke, John & Petrella, Lea","1"
"20309","Journal of Econometrics","2014, Volume 182, Issue 1","Causal discourse in a game of incomplete information","White, Halbert & Xu, Haiqing & Chalak, Karim","1"
"20316","Journal of Econometrics","2014, Volume 182, Issue 1","Theory-coherent forecasting","Giacomini, Raffaella & Ragusa, Giuseppe","16"
"20318","Journal of Econometrics","2014, Volume 182, Issue 1","A predictability test for a small number of nested models","Granziera, Eleonora & Hubrich, Kirstin & Moon, Hyungsik Roger","2"
"20324","Journal of Econometrics","2014, Volume 181, Issue 2","A flexible parametric approach for estimating switching regime models and treatment effect parameters","Chen, Heng & Fan, Yanqin & Wu, Jisong","1"
"20330","Journal of Econometrics","2014, Volume 181, Issue 2","Testing over-identifying restrictions without consistent estimation of the asymptotic covariance matrix","Lee, Wei-Ming & Kuan, Chung-Ming & Hsu, Yu-Chin","3"
"20336","Journal of Econometrics","2014, Volume 181, Issue 1","Exponential stock models driven","tempered stable processes by Kchler, Uwe & Tappe, Stefan","6"
"20347","Journal of Econometrics","2014, Volume 180, Issue 1","A score-test on measurement errors in rating transition times","Vo?, Sebastian & Wei?bach, Rafael","1"
"20349","Journal of Econometrics","2014, Volume 180, Issue 1","Beta-product dependent Pitma?????Yor processes for Bayesian inference","Bassetti, Federico & Casarin, Roberto & Leisen, Fabrizio","25"
"20352","Journal of Econometrics","2014, Volume 180, Issue 1","Adaptive dynamic Nelso?????Siegel term structure model with applications","Chen, Ying & Niu, Linlin","25"
"20366","Journal of Econometrics","2014, Volume 178, Issue P3","Model equivalence tests in a parametric framework","Lavergne, Pascal","2"
"20375","Journal of Econometrics","2014, Volume 178, Issue P3","An asymptotic analysis of likelihood-based diffusion model selection using high frequency data","Choi, Hwan-sik & Jeong, Minsoo & Park, Joon Y.","2"
"20387","Journal of Econometrics","2014, Volume 178, Issue P2","The estimation of misspecified long memory models","Robinson, Peter M.","2"
"20389","Journal of Econometrics","2014, Volume 178, Issue P2","Testing for seasonal unit roots","frequency domain regression by Chambers, Marcus J. & Ercolani, Joanne S. & Taylor, A.M. Robert","3"
"20396","Journal of Econometrics","2014, Volume 178, Issue P2","Summability of stochastic processes:????A generalization of integration for non-linear processes","Berenguer-Rico, Vanessa & Gonzalo, Jess","11"
"20405","Journal of Econometrics","2014, Volume 178, Issue P1","Constructing smooth tests without estimating the eigenpairs of the limiting process","Hsu, Shih-Hsun & Kuan, Chung-Ming","1"
"20406","Journal of Econometrics","2014, Volume 178, Issue P1","Model specification test with correlated but not cointegrated variables","Gan, Li & Hsiao, Cheng & Xu, Shu","1"
"20407","Journal of Econometrics","2014, Volume 178, Issue P1","Neglected heterogeneity in moment condition models","Hahn, Jinyong & Newey, Whitney K. & Smith, Richard J.","2"
"20432","Journal of Econometrics","2013, Volume 177, Issue 2","Least squares estimation in a simple random coefficient autoregressive model","Johansen, Sren & Lange, Theis","2"
"20434","Journal of Econometrics","2013, Volume 177, Issue 2","Forecasting","factors, by variables, by both or neither? by Castle, Jennifer L. & Clements, Michael P. & Hendry, David F.","40"
"20437","Journal of Econometrics","2013, Volume 177, Issue 2","Complete subset regressions","Elliott, Graham & Gargano, Antonio & Timmermann, Allan","78"
"20443","Journal of Econometrics","2013, Volume 177, Issue 1","Finite-sample exact tests for linear regressions with bounded dependent variables","Gossner, Olivier & Schlag, Karl H.","2"
"20445","Journal of Econometrics","2013, Volume 177, Issue 1","Dilation bootstrap","Galichon, Alfred & Henry, Marc","24"
"20458","Journal of Econometrics","2013, Volume 175, Issue 2","Determining the MSE-optimal cross section to forecast","Arbus, Ignacio","0"
"20464","Journal of Econometrics","2013, Volume 175, Issue 2","Modelling volatility","variance decomposition by Amado, Cristina & Tersvirta, Timo","72"
"20466","Journal of Econometrics","2013, Volume 175, Issue 1","Nelso?????Plosser revisited: The ACF approach","Abadir, Karim M. & Caggiano, Giovanni & Talmain, Gabriel","13"
"20471","Journal of Econometrics","2013, Volume 174, Issue 2","Model averaging","jackknife criterion in models with dependent data by Zhang, Xinyu & Wan, Alan T.K. & Zou, Guohua","47"
