ID, Journal, Date, Title,Author, Citation
55272,Journal of International Economics,"Pages 139-416 (December 2008), Volum76,Issue2",North_????South trade and directed technical change,Gino Gancia& AlesSandra Bonfiglioli,-1
41193,Marketing Science,"1998, Volume 17, Issue 3",Does???_Bait and Switc???_ Really Benefit Consumers?,William L. Wilkie & Carl F. Mela & Gregory T. Gundlach,0
41194,Marketing Science,"1998, Volume 17, Issue 3","Yes,???_Bait and Switc???_ Really Benefits Consumers",James D. Hess & Eitan Gerstner,0
51127,Journal of Law & Economics,"Vol. 43, No. 1, April 2000",Fisher_????General Motors and the Nature of the Firm,By Benjamin Klein,228
38845,Journal of the European Econ Assoc,"2011, Volume 9, Issue 6",Testing The???_Waterbe???_ Effect In Mobile Telephony,Christos Genakos & Tommaso Valletti,0
52196,Quarterly Journal of Economics,Volume 118?Issue 1?February 2003,"Income Inequality in the United States, 1913_????1998",Thomas Piketty&Emmanuel Saez,0
55758,Journal of International Economics,"Pages 1-232 (June 2001), Volum54,Issue1",International trade and labor_????demand elasticities,Matthew J. Slaughter,-1
50201,Journal of Labor Economics,"Vol. 28, No. 1, January 2010",How General Is Human Capital? A Task_????Based Approach,Christina Gathmann & Uta Schnberg,0
50370,Journal of Labor Economics,"Vol. 21, No. 3, July 2003",The Effect of Immigration on Native Self_????Employment,Robert W. Fairlie & Bruce D. Meyer,0
50509,Journal of Labor Economics,"Vol. 17, No. 3, July 1999","Earnings, Productivity, and Performance_????Related Pay",Alison L. Booth & Jeff Frank,0
50889,Journal of Law & Economics,"Vol. 52, No. 2, May 2009",Do Wrongful_????Discharge Laws Impair Firm Performance?,Robert C. Bird & John D. Knopf,0
50978,Journal of Law & Economics,"Vol. 49, No. 1, April 2006",Neighborhood Crime and Young Males_???? Job Opportunity,Keith R. Ihlanfeldt,11
51080,Journal of Law & Economics,"Vol. 44, No. S2, October 2001","Violence, Guns, and Drugs: A Cross_????Country Analysis",Jeffrey A. Miron,0
54867,Journal of International Economics,"Pages 1-210 (January 2014), Volum92,Issue1","Quantifying the evolution of world trade, 1870_????1949",Mariko J. Klasing& Petros Milionis,-1
50467,Journal of Labor Economics,"Vol. 18, No. 4, October 2000",On_????the-Job Specific Training and Efficient Screening,Mehmet Bac,0
51029,Journal of Law & Economics,"Vol. 47, No. 1, April 2004",On the Incidence and Variety of Low_????Price Guarantees,Maria Arbatskaya& Morten Hviid& Greg Shaffer,0
29116,Journal of Financial Economics,"2014, Volume 114, Issue 2",Did going public impair Moody???€?_??????s credit ratings?,"Kedia, Simi & Rajgopal, Shivaram & Zhou, Xing",0
36437,Journal of Public Economics,"2011, Volume 95, Issue 11",A dynamic analysis of human welfare in a warming plane???_,"Llavador, Humberto & Roemer, John E. & Silvestre, Joaquim",38
50310,Journal of Labor Economics,"Vol. 23, No. 3, July 2005",Agency Contracts with Long_????Term Customer Relationships,Ignatius J. Horstmann& Frank Mathewson& Neil Quigley,0
50458,Journal of Labor Economics,"Vol. 19, No. 1, January 2001",In_????School Work Experience and the Returns to Schooling,Audrey Light,0
50478,Journal of Labor Economics,"Vol. 18, No. 3, July 2000",Retirement in Dual_????Career Families: A Structural Model,Alan L. Gustman & Thomas L. Steinmeier,0
51092,Journal of Law & Economics,"Vol. 44, No. 2, October 2001",The Incentive Effects of No_????Fault Automobile Insurance,J. David Cummins& Richard D. Phillips& Mary A. Weiss,0
53634,Review of Economic Studies,Volume 75?Issue 4?October 2008,On _??_Acquisition of Information in Financial Markets_??_,Christophe Chamley,0
53683,Review of Economic Studies,Volume 75?Issue 2?April 2008,On _??_Acquisition of Information in Financial Markets_??_,Christophe Chamley,0
55599,Journal of International Economics,"Pages 245-444 (March 2004), Volum62,Issue2",The true meaning of David Ricardo_????s four magic numbers,Andrea Maneschi,-1
29312,Journal of Financial Economics,"2013, Volume 107, Issue 3",The???_out-of-sampl???_ performance of long run risk models,"Ferson, Wayne & Nallareddy, Suresh & Xie, Biqin",0
50267,Journal of Labor Economics,"Vol. 25, No. 1, January 2007",The Impact of Divorce Laws on Marriage_????Specific Capital,Betsey Stevenson,0
50787,Journal of Law & Economics,"Vol. 55, No. 1, February 2012",Innovation without Patents: Evidence from World_????s Fairs,Petra Moser,0
55644,Journal of International Economics,"Pages 1-234 (May 2003), Volum60,Issue1",Exchange rate forecasting: the errors we_????ve really made,Jon Faust& John H Rogers& Jonathan H. Wright,-1
50275,Journal of Labor Economics,"Vol. 24, No. 4, October 2006",Optimal Promotion Policies with the Looking_????Glass Effect,Junichiro Ishida,0
50748,Journal of Law & Economics,"Vol. 56, No. 2, May 2013",Licensing One of the World_????s Oldest Professions: Massage,Robert J. Thornton & Edward J. Timmons,0
